lng,lat,hosname,level,precise,confidence
114.37809455930251,22.704256171654666,深圳市萨米医疗中心,医疗,1,70
114.12382597201461,22.54359811234163,深圳远东妇产医院,医疗,1,70
114.1211023474984,22.53492185313995,深圳远大肛肠医院,医疗,1,70
114.07849609488991,22.65146247111451,深圳雪象医院,医疗,1,70
114.10771651208692,22.5552915950268,深圳鹏程医院,医疗,1,70
114.23129761959048,22.703198969016356,深圳龙城医院,医疗,1,70
114.1308671310813,22.594152679825545,深圳龙城心脑血管病医院,餐饮,0,80
114.02170165708651,22.634993080031062,深圳仁合医院,医疗,1,70
114.0125535411641,22.658450955288657,深圳龙济医院,医疗,1,70
114.2043528264026,22.64396454050051,深圳龙翔医院,医疗,1,70
113.99600619606804,22.525564560330018,香港大学深圳医院,医疗,1,70
120.43700016765499,41.592698884842314,龙城心血管病医院,区县,0,20
114.08561270570503,22.558013816902527,深圳市急救中心院前分站,医疗,1,70
114.01447015169516,22.546125322079046,市急救中心眼科医院分站,医疗,1,70
113.99600619606804,22.525564560330018,市急救中心香港大学深圳医院分站,医疗,1,70
114.11358056534269,22.552929330487952,市急救中心市职业病防治院分站,医疗,1,70
114.08561270570503,22.558013816902527,市急救中心西丽分站,医疗,1,70
114.08360008060872,22.53899996723178,中山大学附属第八医院（深圳福田）,金融,1,70
114.04230126441738,22.559229239146436,广州中医药大学深圳医院,医疗,1,70
113.94947379991329,22.579857669915395,南方科技大学医院（深圳市南山区西丽人民医院）,医疗,1,70
113.84450995363028,22.625000779070337,深圳市宝安区中心医院（西乡人民医院）,购物,1,75
114.11593289831748,22.605394986498062,深圳市龙岗区第二人民医院,医疗,1,70
114.03300611215829,22.65581621918926,深圳市龙华区人民医院,医疗,1,70
114.04602970081403,22.7131085762987,深圳市龙华区中心医院,医疗,1,70
114.35124209962596,22.68750525212626,深圳市坪山区人民医院,医疗,1,70
114.3691333835745,22.74629617194961,深圳市坪山新区妇幼保健院,医疗,1,70
113.94403747534064,22.751932229424554,中国科学院大学深圳医院,医疗,1,70
114.08561270570503,22.558013816902527,深圳机场医疗急救中心,医疗,1,70
